accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.7559,0.841,0,1,True,False,16166,59,9,"(3, 3)","(5, 5)",average,28
0.83,0.5986,0,1,True,True,60893,67,34,"(3, 3)","(5, 5)",average,25
0.7501,0.85,0,1,True,False,615361,114,66,"(2, 2)","(3, 3)",max,67
0.9606,0.1822,0,1,True,True,552147,70,96,"(4, 4)","(3, 3)",max,33
0.8676,0.5436,0,1,True,False,607323,116,64,"(2, 2)","(3, 3)",average,62
0.9195,0.3219,0,1,True,True,443633,61,89,"(2, 2)","(3, 3)",average,9
0.7458,0.8439,0,1,True,False,85679,51,64,"(3, 3)","(5, 5)",average,30
0.9135,0.3402,0,1,True,True,164989,25,79,"(4, 4)","(3, 3)",average,10
0.9702,0.1283,9,1,True,True,115787,108,28,"(5, 5)","(4, 4)",max,15
0.325,2.4646,0,1,True,False,180607,31,70,"(4, 4)","(3, 3)",max,58
0.915,0.3973,0,1,True,False,370583,112,89,"(5, 5)","(4, 4)",average,69
0.9608,0.1518,0,1,True,True,963278,104,47,"(2, 2)","(2, 2)",max,24
0.4673,1.7516,0,1,True,False,13072,15,21,"(4, 4)","(4, 4)",max,52
0.9492,0.1989,10,1,True,True,320293,121,53,"(2, 2)","(4, 4)",max,13
0.9213,0.3,0,1,True,True,232475,128,36,"(3, 3)","(4, 4)",average,11
0.506,1.7355,0,1,True,False,77806,27,75,"(4, 4)","(4, 4)",max,62
0.8586,0.5092,0,1,True,False,122411,41,36,"(3, 3)","(3, 3)",average,38
0.899,0.4019,0,1,True,True,28165,102,9,"(5, 5)","(5, 5)",max,63
0.6652,1.1663,0,1,True,False,69431,27,31,"(2, 2)","(3, 3)",average,38
0.9748,0.1147,9,1,True,True,1126142,71,93,"(5, 5)","(2, 2)",max,9
0.9502,0.2042,0,1,True,True,637962,116,67,"(4, 4)","(3, 3)",average,54
0.8835,0.4573,0,1,True,True,33692,26,33,"(4, 4)","(4, 4)",average,10
0.8669,0.5051,0,1,True,True,73079,107,13,"(2, 2)","(4, 4)",average,31
0.9394,0.266,0,1,True,True,115719,39,77,"(5, 5)","(4, 4)",max,15
0.9646,0.1557,9,1,True,True,369040,121,37,"(3, 3)","(3, 3)",average,5
0.9137,0.4049,0,1,True,False,538775,106,62,"(3, 3)","(3, 3)",average,53
0.969,0.1238,10,1,True,True,117787,71,44,"(4, 4)","(4, 4)",max,13
0.9231,0.3171,0,1,True,True,122103,87,8,"(5, 5)","(2, 2)",average,68
0.9616,0.1733,0,1,True,True,617345,77,47,"(4, 4)","(2, 2)",average,33
0.9303,0.2568,10,1,True,True,124163,108,43,"(5, 5)","(5, 5)",average,5
0.9782,0.105,10,1,True,True,261463,111,63,"(5, 5)","(4, 4)",max,12
0.9596,0.1739,0,1,True,True,403744,100,49,"(4, 4)","(3, 3)",average,44
0.8759,0.4411,0,1,True,True,315113,77,82,"(3, 3)","(4, 4)",average,37
0.8371,0.6371,0,1,True,False,219768,57,77,"(3, 3)","(4, 4)",max,58
0.908,0.3521,0,1,True,True,212130,72,59,"(2, 2)","(4, 4)",average,4
0.8279,0.6654,0,1,True,False,574253,73,46,"(5, 5)","(2, 2)",max,69
0.9748,0.1098,0,1,True,True,1571761,114,81,"(5, 5)","(2, 2)",max,40
0.9173,0.3266,0,1,True,True,40427,81,7,"(5, 5)","(3, 3)",average,53
