accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.7783,0.743,0,1,True,False,89588,51,67,"(3, 3)","(5, 5)",average,35
0.6465,1.2611,0,1,True,False,3419,36,1,"(3, 3)","(4, 4)",max,3
0.8849,0.4466,0,1,True,True,256948,99,99,"(5, 5)","(5, 5)",average,42
0.5414,1.3767,0,1,True,False,68987,26,100,"(3, 3)","(5, 5)",max,55
0.9008,0.4103,0,1,True,True,364355,114,64,"(3, 3)","(4, 4)",max,56
0.9198,0.3529,0,1,True,True,56627,89,12,"(3, 3)","(4, 4)",max,65
0.9694,0.1329,8,1,False,True,168059,54,82,"(5, 5)","(4, 4)",max,1
0.9061,0.3846,0,1,True,True,613823,125,60,"(2, 2)","(3, 3)",average,51
0.9156,0.3136,0,1,True,True,283895,89,64,"(2, 2)","(4, 4)",max,7
0.45,1.8874,0,1,True,False,18232,16,13,"(4, 4)","(3, 3)",average,68
0.8965,0.3978,0,1,True,True,144000,60,29,"(2, 2)","(3, 3)",max,48
0.5816,1.3095,0,1,True,False,127817,54,91,"(3, 3)","(5, 5)",average,65
0.9602,0.1577,0,1,True,True,244055,94,13,"(3, 3)","(2, 2)",average,19
0.9078,0.3695,0,1,True,True,406291,87,57,"(2, 2)","(3, 3)",average,24
0.9734,0.1228,0,1,True,True,398604,52,93,"(4, 4)","(3, 3)",max,6
0.8265,0.59,0,1,True,True,242501,110,86,"(2, 2)","(5, 5)",average,6
0.5142,1.5683,0,1,True,False,74669,21,43,"(2, 2)","(3, 3)",average,34
0.9057,0.3521,8,1,False,True,33641,77,2,"(2, 2)","(2, 2)",max,2
0.8096,0.7427,0,1,True,False,109531,60,36,"(3, 3)","(4, 4)",max,55
0.9322,0.2667,0,1,True,True,347753,122,57,"(3, 3)","(4, 4)",average,21
0.9352,0.233,0,1,True,True,307451,87,43,"(2, 2)","(3, 3)",max,32
0.9647,0.164,0,1,True,True,982483,124,97,"(3, 3)","(3, 3)",average,38
0.9406,0.233,7,1,False,True,76063,117,24,"(3, 3)","(5, 5)",max,0
0.9177,0.3555,0,1,True,True,453023,51,52,"(4, 4)","(2, 2)",max,19
0.9585,0.2479,0,1,True,True,591787,108,84,"(5, 5)","(3, 3)",max,66
0.8417,0.581,0,1,True,False,142471,43,88,"(4, 4)","(4, 4)",average,31
0.9411,0.2696,0,1,True,True,190879,64,79,"(5, 5)","(4, 4)",max,34
0.5237,1.6756,0,1,True,False,44615,14,18,"(5, 5)","(2, 2)",average,38
0.9712,0.1261,0,1,True,True,874234,114,45,"(4, 4)","(2, 2)",average,33
0.7974,0.7301,0,1,True,False,34550,23,29,"(3, 3)","(4, 4)",max,23
0.9733,0.1118,8,1,False,True,96039,118,21,"(5, 5)","(4, 4)",max,9
0.5166,1.7779,0,1,True,False,304811,22,70,"(3, 3)","(2, 2)",max,60
0.8684,0.4975,0,1,True,True,18620,34,19,"(4, 4)","(5, 5)",max,33
0.8381,0.6091,0,1,True,False,60467,28,56,"(4, 4)","(4, 4)",average,17
0.7112,0.9554,0,1,True,False,41561,17,90,"(3, 3)","(5, 5)",max,11
0.9764,0.1004,10,1,True,True,191016,115,63,"(5, 5)","(5, 5)",max,13
0.8011,0.7751,0,1,True,False,84059,36,46,"(3, 3)","(4, 4)",average,28
0.8896,0.4919,0,1,True,False,328031,103,16,"(3, 3)","(2, 2)",max,57
0.922,0.2928,0,1,True,True,88901,105,22,"(4, 4)","(4, 4)",average,21
0.9346,0.2774,0,1,True,True,334851,97,42,"(2, 2)","(3, 3)",average,18
0.9012,0.3603,0,1,True,True,79432,75,39,"(5, 5)","(5, 5)",average,8
0.8056,0.6656,0,1,True,False,68911,67,20,"(2, 2)","(4, 4)",average,40
0.9588,0.1933,0,1,True,True,473807,77,94,"(5, 5)","(3, 3)",average,47
0.6209,1.2342,0,1,True,False,166154,20,99,"(4, 4)","(3, 3)",average,24
0.8581,0.526,0,1,True,True,109955,95,44,"(3, 3)","(5, 5)",average,23
0.7017,0.9519,0,1,True,False,79991,25,16,"(3, 3)","(2, 2)",max,37
0.9825,0.0845,10,1,True,True,181163,120,40,"(5, 5)","(4, 4)",max,15
0.9728,0.1268,0,1,True,True,802199,83,49,"(3, 3)","(2, 2)",average,20
0.8973,0.3882,0,1,True,True,27169,46,11,"(3, 3)","(4, 4)",max,5
0.9338,0.275,0,1,True,True,319579,129,30,"(2, 2)","(3, 3)",max,59
0.9057,0.4194,0,1,True,False,283107,118,12,"(3, 3)","(2, 2)",average,69
0.9462,0.2146,0,1,True,True,242755,90,72,"(5, 5)","(4, 4)",average,23
0.6256,1.2035,0,1,True,False,39044,23,63,"(3, 3)","(5, 5)",average,7
0.4634,1.7696,0,1,True,False,69841,25,98,"(5, 5)","(5, 5)",max,43
0.9585,0.1751,0,1,True,True,395253,83,58,"(3, 3)","(3, 3)",average,23
0.8269,0.6108,0,1,True,True,52115,48,40,"(4, 4)","(5, 5)",average,9
0.9322,0.331,0,1,True,True,141362,113,47,"(5, 5)","(5, 5)",max,70
0.9798,0.0868,10,1,True,True,404839,109,100,"(5, 5)","(4, 4)",max,12
0.9626,0.1804,0,1,True,True,120643,66,48,"(5, 5)","(4, 4)",max,30
0.5582,1.4109,0,1,True,False,78823,39,78,"(2, 2)","(5, 5)",average,36
0.8166,0.7151,0,1,True,False,31111,30,12,"(4, 4)","(3, 3)",average,34
0.3982,2.1936,0,1,True,False,71393,17,82,"(3, 3)","(4, 4)",average,56
0.9546,0.192,7,1,False,True,50920,113,5,"(3, 3)","(3, 3)",max,0
0.6439,1.1038,0,1,True,False,142010,36,79,"(2, 2)","(4, 4)",max,39
0.8437,0.6287,0,1,True,False,85986,39,11,"(2, 2)","(2, 2)",max,54
0.9137,0.3685,0,1,True,True,37046,60,7,"(4, 4)","(3, 3)",average,28
0.9512,0.1987,0,1,True,True,846317,50,99,"(5, 5)","(2, 2)",average,14
0.8813,0.4859,0,1,True,False,591483,124,96,"(3, 3)","(4, 4)",average,60
0.8436,0.5713,0,1,True,False,1741637,108,82,"(2, 2)","(2, 2)",max,58
0.7665,0.7817,0,1,True,False,106055,58,70,"(3, 3)","(5, 5)",max,56
0.8635,0.5495,0,1,True,False,102776,19,31,"(5, 5)","(2, 2)",average,22
0.7844,0.7048,0,1,True,False,237176,104,89,"(2, 2)","(5, 5)",average,31
0.9098,0.3358,0,1,True,True,110758,81,51,"(5, 5)","(5, 5)",average,11
0.9143,0.4,0,1,True,False,44087,51,10,"(4, 4)","(3, 3)",max,59
0.8285,0.6643,0,1,True,False,142245,108,50,"(4, 4)","(5, 5)",average,61
0.8855,0.4288,0,1,True,True,88043,74,44,"(5, 5)","(5, 5)",average,29
0.9718,0.1232,0,1,True,True,439418,122,21,"(4, 4)","(2, 2)",average,43
0.7999,0.7029,0,1,True,False,175151,75,91,"(2, 2)","(5, 5)",average,25
0.9483,0.2025,0,1,True,True,270371,128,82,"(3, 3)","(5, 5)",max,24
0.6187,1.2796,0,1,True,False,73911,37,24,"(2, 2)","(3, 3)",average,57
0.962,0.1874,0,1,True,True,928169,69,79,"(4, 4)","(2, 2)",average,42
0.7583,0.8528,0,1,True,False,290698,127,89,"(3, 3)","(5, 5)",average,61
0.9677,0.1371,0,1,True,True,202187,120,64,"(5, 5)","(5, 5)",max,22
0.6458,1.2778,0,1,True,False,286031,19,76,"(3, 3)","(2, 2)",average,32
0.6963,1.0115,0,1,True,False,349786,70,61,"(2, 2)","(3, 3)",max,64
0.9317,0.3334,0,1,True,True,172595,102,64,"(5, 5)","(5, 5)",max,54
0.9261,0.2949,10,1,True,True,35428,123,3,"(3, 3)","(3, 3)",average,8
0.8178,0.6075,0,1,True,False,246509,81,61,"(2, 2)","(4, 4)",average,24
0.9646,0.1465,0,1,True,True,751574,126,73,"(2, 2)","(3, 3)",max,21
0.9677,0.1381,0,1,True,True,641068,84,93,"(4, 4)","(3, 3)",average,14
0.7702,0.8373,0,1,True,False,51675,36,17,"(3, 3)","(3, 3)",average,52
0.6952,1.0566,0,1,True,False,7755,30,8,"(4, 4)","(5, 5)",average,33
0.9231,0.3328,0,1,True,True,906419,50,92,"(3, 3)","(2, 2)",average,39
0.8695,0.5581,0,1,True,False,126703,73,26,"(5, 5)","(3, 3)",average,69
0.6885,1.0589,0,1,True,False,10323,60,5,"(3, 3)","(5, 5)",average,53
0.968,0.1398,0,1,True,True,374561,99,46,"(3, 3)","(3, 3)",average,15
0.9758,0.1134,10,1,True,True,342731,52,100,"(5, 5)","(3, 3)",max,4
0.5913,1.3067,0,1,True,False,11705,38,10,"(4, 4)","(5, 5)",average,65
0.8354,0.6166,0,1,True,False,144980,43,67,"(3, 3)","(4, 4)",average,44
0.9577,0.1907,0,1,True,True,309497,53,34,"(5, 5)","(2, 2)",max,5
0.9636,0.1536,0,1,True,True,177131,64,16,"(5, 5)","(2, 2)",average,9
0.9138,0.3732,0,1,True,True,86129,14,35,"(5, 5)","(2, 2)",max,21
0.9338,0.2566,0,1,True,True,74311,107,8,"(3, 3)","(3, 3)",average,50
0.9689,0.1294,9,1,True,True,382139,116,66,"(3, 3)","(4, 4)",max,6
0.9489,0.2074,0,1,True,True,119417,78,58,"(4, 4)","(5, 5)",max,22
0.6471,1.1598,0,1,True,False,91143,40,60,"(4, 4)","(4, 4)",average,56
0.8376,0.5787,0,1,True,True,27275,110,8,"(4, 4)","(5, 5)",average,35
0.9512,0.2101,0,1,True,True,108340,32,89,"(4, 4)","(4, 4)",max,11
0.7059,1.0476,0,1,True,False,60357,40,18,"(2, 2)","(3, 3)",average,40
0.8619,0.4789,0,1,True,True,122459,90,52,"(3, 3)","(5, 5)",average,14
0.8347,0.6278,0,1,True,False,271187,115,91,"(4, 4)","(5, 5)",average,60
0.4072,1.912,0,1,True,False,35725,33,21,"(2, 2)","(4, 4)",average,67
0.9567,0.1698,0,1,True,True,783132,75,53,"(2, 2)","(2, 2)",max,22
0.6578,1.1469,0,1,True,False,48707,35,36,"(4, 4)","(4, 4)",average,52
0.851,0.5505,0,1,True,False,134942,41,19,"(5, 5)","(2, 2)",max,65
0.9366,0.2757,0,1,True,True,184067,85,26,"(4, 4)","(3, 3)",average,52
0.9653,0.1487,0,1,True,True,1450544,101,73,"(2, 2)","(2, 2)",max,20
0.8865,0.4271,0,1,True,True,63825,102,23,"(3, 3)","(5, 5)",average,4
0.9718,0.1243,0,1,True,True,792131,80,58,"(5, 5)","(2, 2)",max,33
0.9584,0.1776,0,1,True,True,65102,95,13,"(3, 3)","(4, 4)",max,10
0.9734,0.1202,5,1,False,True,1636346,116,83,"(4, 4)","(2, 2)",max,9
0.7744,0.7959,0,1,True,False,36473,92,14,"(2, 2)","(5, 5)",average,18
0.9612,0.1652,6,1,False,True,1329377,83,94,"(5, 5)","(2, 2)",average,2
0.2626,2.6926,0,1,True,False,85169,17,98,"(3, 3)","(4, 4)",max,58
0.6693,1.1585,0,1,True,False,24128,62,7,"(2, 2)","(4, 4)",average,59
0.7312,0.9031,10,1,True,False,98180,52,73,"(2, 2)","(5, 5)",average,0
0.9019,0.403,0,1,True,True,961601,52,94,"(2, 2)","(2, 2)",average,33
0.6016,1.4914,0,1,True,False,130362,28,27,"(4, 4)","(2, 2)",max,69
0.9268,0.2856,0,1,True,True,22576,78,3,"(4, 4)","(3, 3)",max,12
0.8031,0.6802,0,1,True,False,52359,34,30,"(3, 3)","(4, 4)",max,29
0.9585,0.181,0,1,True,True,413758,54,93,"(4, 4)","(3, 3)",average,8
0.8624,0.5351,0,1,True,True,17831,74,1,"(3, 3)","(2, 2)",average,37
0.5269,1.5115,0,1,True,False,213687,55,78,"(2, 2)","(4, 4)",max,70
0.9652,0.1502,0,1,True,True,1055471,62,100,"(4, 4)","(2, 2)",max,35
0.6635,1.204,10,1,True,False,8330,119,1,"(5, 5)","(5, 5)",max,9
0.9489,0.2161,0,1,True,True,309955,41,92,"(3, 3)","(3, 3)",max,16
0.4328,1.9111,0,1,True,False,10019,22,16,"(2, 2)","(5, 5)",max,65
0.9331,0.2857,0,1,True,True,34832,33,37,"(5, 5)","(5, 5)",max,4
0.9478,0.2283,0,1,True,True,119932,96,33,"(4, 4)","(4, 4)",max,46
0.7925,0.6922,0,1,True,False,157895,64,49,"(3, 3)","(4, 4)",max,58
0.4553,1.7283,0,1,True,False,154619,25,74,"(4, 4)","(3, 3)",average,58
0.7916,0.7343,0,1,True,False,46427,104,16,"(2, 2)","(5, 5)",average,30
0.7513,0.9415,0,1,True,False,150391,36,21,"(3, 3)","(2, 2)",average,60
0.943,0.2503,0,1,True,True,299783,35,50,"(4, 4)","(2, 2)",average,20
0.6871,1.1406,0,1,True,False,119579,20,72,"(3, 3)","(3, 3)",max,33
0.9114,0.3557,0,1,True,True,109167,39,14,"(3, 3)","(2, 2)",average,29
0.8363,0.703,0,1,True,False,194183,48,61,"(5, 5)","(3, 3)",average,61
0.8879,0.4791,0,1,True,False,99380,63,31,"(3, 3)","(4, 4)",max,50
0.8459,0.5635,0,1,True,False,505631,102,100,"(2, 2)","(4, 4)",average,40
0.9553,0.1893,0,1,True,True,563486,92,31,"(2, 2)","(2, 2)",max,17
0.8268,0.6431,0,1,True,False,280239,24,68,"(4, 4)","(2, 2)",average,34
0.9547,0.187,0,1,True,True,157079,67,88,"(5, 5)","(5, 5)",max,20
0.9507,0.2011,0,1,True,True,526910,65,99,"(3, 3)","(3, 3)",max,40
0.9272,0.3085,0,1,True,False,315650,80,23,"(4, 4)","(2, 2)",max,68
0.3995,2.1301,0,1,True,False,83711,23,21,"(4, 4)","(2, 2)",average,57
0.6901,1.0754,0,1,True,False,49511,29,64,"(3, 3)","(5, 5)",max,45
0.6035,1.358,0,1,True,False,3914,55,1,"(5, 5)","(5, 5)",average,40
0.9426,0.2141,0,1,True,True,110339,129,10,"(2, 2)","(3, 3)",max,27
0.9567,0.1703,0,1,True,True,800644,54,87,"(4, 4)","(2, 2)",average,33
0.9623,0.1684,0,1,True,True,756167,56,79,"(5, 5)","(2, 2)",average,32
0.9597,0.1821,0,1,True,True,623585,85,43,"(4, 4)","(2, 2)",max,56
0.7136,1.0398,0,1,True,False,42607,31,20,"(5, 5)","(3, 3)",average,54
0.5404,1.5032,0,1,True,False,73787,26,100,"(5, 5)","(5, 5)",average,35
0.9064,0.3758,0,1,True,True,329319,104,85,"(5, 5)","(4, 4)",average,60
0.9745,0.119,0,1,True,True,325203,73,54,"(4, 4)","(3, 3)",max,23
0.8864,0.4215,0,1,True,True,54123,52,39,"(3, 3)","(5, 5)",max,30
0.9466,0.2682,0,1,True,True,52367,58,23,"(5, 5)","(4, 4)",max,42
0.8412,0.6385,0,1,True,False,63381,70,33,"(5, 5)","(5, 5)",max,67
0.5425,1.4922,0,1,True,False,28862,14,51,"(4, 4)","(4, 4)",average,26
0.9529,0.2651,0,1,True,True,183139,102,48,"(4, 4)","(4, 4)",max,56
0.9002,0.4502,0,1,True,False,107767,46,35,"(5, 5)","(3, 3)",average,55
0.9271,0.3684,0,1,True,False,939821,95,58,"(5, 5)","(2, 2)",max,66
0.9729,0.117,0,1,True,True,1012061,129,46,"(5, 5)","(2, 2)",max,53
0.8821,0.4247,0,1,True,False,439181,57,94,"(3, 3)","(3, 3)",max,54
0.876,0.4989,0,1,True,False,425837,26,95,"(5, 5)","(2, 2)",max,31
0.8602,0.5681,0,1,True,False,48868,84,21,"(4, 4)","(5, 5)",average,48
0.934,0.2779,0,1,True,True,656222,86,93,"(4, 4)","(3, 3)",max,29
0.8061,0.7079,0,1,True,False,11751,58,6,"(5, 5)","(5, 5)",average,49
0.9506,0.2076,0,1,True,True,91652,110,31,"(4, 4)","(5, 5)",max,47
0.4432,1.8542,0,1,True,False,45545,18,85,"(5, 5)","(5, 5)",max,63
0.9323,0.2724,0,1,True,True,86635,36,12,"(3, 3)","(2, 2)",average,3
0.8365,0.5826,0,1,True,False,402899,25,94,"(4, 4)","(2, 2)",average,37
0.5502,1.4566,0,1,True,False,15086,22,25,"(2, 2)","(5, 5)",average,20
0.9251,0.3037,0,1,True,True,123119,30,61,"(5, 5)","(3, 3)",average,3
0.3576,2.1802,0,1,True,False,28187,14,24,"(2, 2)","(3, 3)",average,49
0.9154,0.3289,0,1,True,True,107723,59,36,"(3, 3)","(4, 4)",average,3
0.9628,0.1548,0,1,True,True,468203,124,22,"(5, 5)","(2, 2)",average,43
0.9693,0.1342,9,1,True,True,184871,72,31,"(3, 3)","(3, 3)",max,5
0.8263,0.6649,0,1,True,False,122737,45,33,"(2, 2)","(3, 3)",average,24
0.9648,0.1355,6,1,False,True,281961,110,31,"(3, 3)","(3, 3)",max,4
0.651,1.1912,0,1,True,False,2449,25,2,"(3, 3)","(5, 5)",average,0
0.9754,0.1142,5,1,False,True,1606312,126,75,"(4, 4)","(2, 2)",max,8
0.9652,0.1523,6,1,False,True,482111,87,28,"(3, 3)","(2, 2)",max,6
0.7066,1.1695,0,1,True,False,77171,44,26,"(5, 5)","(3, 3)",average,70
0.9649,0.1444,8,1,False,True,128985,90,38,"(4, 4)","(4, 4)",max,5
0.8562,0.5403,0,1,True,False,120863,88,52,"(4, 4)","(5, 5)",average,49
0.8725,0.4987,0,1,True,True,190662,70,33,"(2, 2)","(3, 3)",average,26
0.9135,0.3595,0,1,True,True,14115,120,2,"(5, 5)","(4, 4)",max,25
0.9641,0.1451,0,1,True,True,195415,106,49,"(5, 5)","(4, 4)",max,36
0.7512,0.9763,0,1,True,False,120287,16,43,"(5, 5)","(2, 2)",max,32
0.8551,0.6073,0,1,True,False,229811,56,82,"(3, 3)","(4, 4)",average,52
0.9551,0.172,0,1,True,True,380649,125,37,"(2, 2)","(3, 3)",max,18
0.942,0.2369,0,1,True,True,23399,98,3,"(5, 5)","(3, 3)",max,28
0.9312,0.3126,0,1,True,True,230899,110,56,"(5, 5)","(4, 4)",average,64
0.9683,0.1446,0,1,True,True,650329,126,63,"(3, 3)","(3, 3)",max,27
0.8912,0.3995,0,1,True,True,675536,47,73,"(2, 2)","(2, 2)",max,36
0.9135,0.3754,0,1,True,False,655851,120,32,"(4, 4)","(2, 2)",max,67
0.8486,0.534,0,1,True,True,359842,94,77,"(2, 2)","(4, 4)",average,17
0.1697,2.9251,0,1,True,False,67467,16,24,"(5, 5)","(2, 2)",max,39
0.7117,0.9844,0,1,True,False,30421,57,6,"(3, 3)","(3, 3)",average,69
0.5579,1.5125,0,1,True,False,175523,23,93,"(2, 2)","(3, 3)",max,53
0.975,0.1228,0,1,True,True,143603,118,32,"(5, 5)","(4, 4)",max,42
0.9779,0.1007,8,1,True,True,351569,112,38,"(4, 4)","(3, 3)",max,12
0.9799,0.1252,0,1,True,True,350003,92,58,"(5, 5)","(3, 3)",max,48
0.876,0.5043,0,1,True,True,40743,15,65,"(5, 5)","(4, 4)",max,11
0.948,0.1938,0,1,True,True,414109,120,42,"(2, 2)","(3, 3)",max,32
0.949,0.2492,0,1,True,True,352094,42,49,"(4, 4)","(2, 2)",average,14
0.9054,0.3596,0,1,True,True,57599,104,20,"(4, 4)","(5, 5)",average,8
0.1603,2.9194,0,1,True,False,224906,17,67,"(2, 2)","(2, 2)",average,28
0.9644,0.1541,0,1,True,True,1327513,75,90,"(2, 2)","(2, 2)",max,24
0.789,0.7221,0,1,True,False,39245,56,26,"(2, 2)","(5, 5)",average,4
0.7793,0.7993,0,1,True,False,136693,90,30,"(2, 2)","(4, 4)",average,49
0.9463,0.2693,0,1,True,True,62512,69,33,"(5, 5)","(5, 5)",max,48
0.9208,0.3348,0,1,True,True,193937,41,57,"(4, 4)","(3, 3)",average,38
0.9413,0.268,0,1,True,True,272737,61,26,"(5, 5)","(2, 2)",average,39
0.954,0.1856,0,1,True,True,507053,126,49,"(3, 3)","(3, 3)",average,36
0.7923,0.7373,0,1,True,False,85118,47,69,"(3, 3)","(5, 5)",max,47
0.9369,0.2445,0,1,True,True,144912,121,45,"(5, 5)","(5, 5)",average,12
0.6973,1.1196,0,1,True,False,114535,14,98,"(3, 3)","(3, 3)",max,23
0.9181,0.3452,0,1,True,True,252111,85,36,"(2, 2)","(3, 3)",average,22
0.9369,0.213,8,1,False,True,169355,86,76,"(3, 3)","(5, 5)",max,3
0.5854,1.324,0,1,True,False,29101,21,27,"(2, 2)","(4, 4)",average,1
0.9493,0.1961,0,1,True,True,526580,107,99,"(3, 3)","(4, 4)",max,40
0.7169,0.9316,0,1,True,False,506965,73,85,"(2, 2)","(3, 3)",max,68
0.4505,2.162,0,1,True,False,32272,18,63,"(4, 4)","(5, 5)",max,55
0.9056,0.4519,0,1,True,False,71975,59,18,"(5, 5)","(3, 3)",average,51
0.8529,0.6045,0,1,True,False,299139,28,54,"(3, 3)","(2, 2)",max,16
0.9557,0.2052,0,1,True,True,121427,37,49,"(5, 5)","(3, 3)",max,27
0.7942,0.7683,0,1,True,False,233339,44,80,"(5, 5)","(3, 3)",average,52
0.9671,0.1359,0,1,True,True,964334,124,95,"(4, 4)","(3, 3)",average,32
0.9697,0.1375,7,1,False,True,1266351,67,96,"(3, 3)","(2, 2)",average,3
0.9124,0.3745,0,1,True,True,778613,116,34,"(2, 2)","(2, 2)",max,31
0.9794,0.1078,6,1,False,True,966305,86,66,"(4, 4)","(2, 2)",max,6
0.9598,0.1656,0,1,True,True,181655,65,14,"(3, 3)","(2, 2)",max,22
0.9718,0.1192,6,1,False,True,953622,128,91,"(4, 4)","(3, 3)",average,3
0.8993,0.3922,0,1,True,True,466799,68,84,"(2, 2)","(3, 3)",average,13
0.9551,0.1611,10,1,True,True,857581,66,66,"(2, 2)","(2, 2)",average,16
0.9454,0.2093,10,1,True,True,166627,123,36,"(4, 4)","(4, 4)",average,5
0.9304,0.3028,0,1,True,True,310763,125,30,"(4, 4)","(3, 3)",average,65
0.7127,0.9465,0,1,True,False,81051,81,38,"(2, 2)","(5, 5)",average,44
0.6133,1.2724,0,1,True,False,7874,20,7,"(2, 2)","(4, 4)",max,42
0.9792,0.0895,8,1,False,True,389795,120,88,"(4, 4)","(4, 4)",max,7
0.7062,1.0029,0,1,True,False,11600,68,5,"(2, 2)","(5, 5)",average,30
0.7725,0.8983,0,1,True,False,238825,85,34,"(3, 3)","(3, 3)",average,68
0.9587,0.1624,9,1,True,True,882035,70,64,"(2, 2)","(2, 2)",average,5
0.533,1.5477,0,1,True,False,15407,35,8,"(2, 2)","(4, 4)",average,66
0.8798,0.4608,0,1,True,True,14767,71,2,"(4, 4)","(3, 3)",average,24
0.7918,0.7933,0,1,True,False,17194,21,27,"(5, 5)","(5, 5)",max,33
0.6728,1.1552,0,1,True,False,36207,66,20,"(2, 2)","(5, 5)",average,48
0.9349,0.2873,0,1,True,True,291843,57,62,"(4, 4)","(3, 3)",average,46
0.6477,1.3301,0,1,True,False,334467,21,92,"(5, 5)","(2, 2)",average,63
0.975,0.1125,0,1,True,True,297363,115,15,"(4, 4)","(2, 2)",max,42
0.8354,0.6704,0,1,True,False,254975,82,83,"(5, 5)","(4, 4)",average,69
0.9474,0.2271,0,1,True,True,251382,101,67,"(4, 4)","(4, 4)",average,21
0.8064,0.6962,0,1,True,False,6545,32,6,"(4, 4)","(5, 5)",max,43
0.9723,0.1193,0,1,True,True,273703,99,42,"(5, 5)","(3, 3)",max,42
0.8877,0.4788,0,1,True,True,201641,57,43,"(2, 2)","(3, 3)",average,30
0.3825,2.4542,0,1,True,False,133451,18,88,"(4, 4)","(3, 3)",max,63
0.9158,0.3377,0,1,True,True,23737,90,6,"(4, 4)","(4, 4)",max,56
0.8047,0.6568,0,1,True,False,148597,126,45,"(3, 3)","(5, 5)",average,62
0.8565,0.6104,0,1,True,False,203499,62,88,"(4, 4)","(4, 4)",average,49
0.4544,1.8709,0,1,True,False,34383,24,53,"(3, 3)","(5, 5)",average,67
0.7503,0.8689,0,1,True,False,13571,108,1,"(3, 3)","(3, 3)",max,48
0.9047,0.3165,0,1,True,True,295727,123,94,"(2, 2)","(5, 5)",max,7
0.9451,0.1971,0,1,True,True,118091,112,40,"(3, 3)","(5, 5)",max,17
0.9622,0.1516,0,1,True,True,1077679,79,80,"(5, 5)","(2, 2)",max,42
0.98,0.0946,8,1,True,True,629690,118,65,"(4, 4)","(3, 3)",max,11
0.9671,0.1384,0,1,True,True,801362,116,35,"(2, 2)","(2, 2)",max,33
0.9617,0.1637,0,1,True,True,520682,50,61,"(4, 4)","(2, 2)",average,17
0.9789,0.1035,0,1,True,True,112027,118,14,"(5, 5)","(3, 3)",max,32
0.9023,0.4182,0,1,True,False,674123,83,99,"(4, 4)","(3, 3)",max,58
0.9739,0.1253,0,1,True,True,277982,82,41,"(4, 4)","(3, 3)",max,43
0.6651,1.1287,0,1,True,False,333299,59,33,"(4, 4)","(2, 2)",max,70
0.8707,0.4995,0,1,True,False,84832,48,21,"(4, 4)","(3, 3)",max,62
0.495,1.531,0,1,True,False,94762,26,95,"(4, 4)","(4, 4)",average,68
0.4452,1.8143,0,1,True,False,54568,14,47,"(2, 2)","(3, 3)",average,27
0.925,0.4119,0,1,True,False,522937,86,74,"(4, 4)","(3, 3)",max,61
0.9033,0.4149,0,1,True,False,209112,92,61,"(4, 4)","(4, 4)",max,63
0.947,0.2178,0,1,True,True,300721,62,59,"(3, 3)","(3, 3)",average,32
0.7626,0.8064,0,1,True,False,36207,66,20,"(2, 2)","(5, 5)",average,9
0.8056,0.7008,0,1,True,False,38947,97,14,"(4, 4)","(5, 5)",average,61
0.9002,0.4333,0,1,True,True,110351,50,11,"(3, 3)","(2, 2)",max,33
0.9389,0.2273,0,1,True,True,82359,79,27,"(5, 5)","(4, 4)",max,50
0.9265,0.3082,0,1,True,True,386659,129,60,"(3, 3)","(4, 4)",average,55
0.5053,1.5818,0,1,True,False,100156,24,21,"(2, 2)","(2, 2)",average,43
0.5552,1.4116,0,1,True,False,17132,29,21,"(3, 3)","(5, 5)",average,33
0.978,0.0921,0,1,True,True,204999,79,69,"(5, 5)","(4, 4)",max,29
0.7658,0.9369,0,1,True,False,28525,33,30,"(5, 5)","(5, 5)",max,64
0.3894,2.1177,0,1,True,False,45380,17,89,"(5, 5)","(5, 5)",average,65
0.941,0.2366,0,1,True,True,548447,73,92,"(2, 2)","(3, 3)",average,5
0.8752,0.4713,0,1,True,True,87131,116,28,"(3, 3)","(5, 5)",average,36
0.9703,0.1222,7,1,False,True,661704,105,77,"(3, 3)","(3, 3)",max,4
0.9732,0.1375,0,1,True,True,135363,112,18,"(5, 5)","(3, 3)",max,43
0.9615,0.182,0,1,True,True,360207,91,48,"(4, 4)","(3, 3)",average,24
0.6949,1.0032,0,1,True,False,30443,68,16,"(2, 2)","(5, 5)",average,43
0.4954,1.7759,0,1,True,False,165801,22,90,"(4, 4)","(3, 3)",average,68
0.9611,0.1556,0,1,True,True,1113563,68,96,"(5, 5)","(2, 2)",average,35
0.7617,0.7942,0,1,True,False,69209,55,46,"(5, 5)","(5, 5)",average,48
0.7416,0.9231,0,1,True,False,41151,15,32,"(4, 4)","(3, 3)",average,18
0.9219,0.2963,0,1,True,True,250093,100,50,"(2, 2)","(4, 4)",max,36
0.9552,0.2011,0,1,True,True,852713,111,94,"(3, 3)","(3, 3)",max,48
0.8046,0.6991,0,1,True,False,53363,50,40,"(3, 3)","(5, 5)",average,12
0.9621,0.1548,0,1,True,True,1134539,80,72,"(3, 3)","(2, 2)",max,27
0.9308,0.2561,9,1,False,True,535106,128,51,"(2, 2)","(3, 3)",average,2
0.9019,0.375,0,1,True,True,198923,92,82,"(5, 5)","(5, 5)",average,33
0.7502,0.977,0,1,True,False,235599,19,72,"(4, 4)","(2, 2)",average,21
0.7181,0.9681,0,1,True,False,12684,18,17,"(4, 4)","(4, 4)",average,12
